gate,value,threshold,pass_fail
G1_overall_mae,0.5853,1.0,PASS
G2_awgn_mae,0.4951,0.5,PASS
G3_kb2_m1d4_mae,0.5849,1.5,PASS
G4_bias_bin0,0.8892,2.0,PASS
G4_bias_bin1,-0.0246,2.0,PASS
G4_bias_bin2,-0.4038,2.0,PASS
G4_bias_bin3,-0.2255,2.0,PASS
G4_bias_bin4,-0.0902,2.0,PASS
G4_bias_bin5,-0.0502,2.0,PASS
G4_bias_bin6,-0.0069,2.0,PASS
G4_bias_bin7,0.0097,2.0,PASS
G4_bias_bin8,0.0356,2.0,PASS
G4_bias_bin9,-0.0256,2.0,PASS
G5_cal_decile0,0.1785,1.0,PASS
G5_cal_decile1,0.0455,1.0,PASS
G5_cal_decile2,0.0455,1.0,PASS
G5_cal_decile3,0.0379,1.0,PASS
G5_cal_decile4,0.0339,1.0,PASS
G5_cal_decile5,0.0187,1.0,PASS
G5_cal_decile6,0.0459,1.0,PASS
G5_cal_decile7,0.038,1.0,PASS
G5_cal_decile8,0.0413,1.0,PASS
G5_cal_decile9,0.0153,1.0,PASS
