epoch,train_loss,val_mae,lr,elapsed_s
1,10.797767,0.91448,9.998671e-04,3.8
2,1.592039,0.681725,9.973700e-04,3.3
3,1.217751,0.678098,9.917265e-04,3.3
4,1.091989,0.683682,9.829728e-04,3.3
5,1.069841,0.692252,9.711648e-04,3.2
6,1.025092,0.699844,9.563780e-04,3.2
7,1.009653,0.630985,9.387068e-04,3.2
8,0.986374,0.691777,9.182641e-04,3.3
9,0.983406,0.670902,8.951807e-04,3.3
10,0.950661,0.789039,8.696039e-04,3.3
11,0.950963,0.647169,8.416973e-04,3.3
12,0.927451,0.624975,8.116391e-04,3.3
13,0.918791,0.624253,7.796215e-04,3.3
14,0.911608,0.622083,7.458490e-04,3.3
15,0.894469,0.614651,7.105374e-04,3.3
16,0.8864,0.613543,6.739125e-04,3.2
17,0.872853,0.626418,6.362082e-04,3.2
18,0.873405,0.609512,5.976654e-04,3.3
19,0.851856,0.609851,5.585305e-04,3.3
20,0.8465,0.610777,5.190535e-04,3.3
21,0.837433,0.615666,4.794867e-04,3.3
22,0.823835,0.631954,4.400830e-04,3.3
23,0.818188,0.598339,4.010941e-04,3.3
24,0.8095,0.604131,3.627691e-04,3.3
25,0.802103,0.60513,3.253530e-04,3.2
26,0.791194,0.605111,2.890849e-04,3.2
27,0.783586,0.612266,2.541965e-04,3.3
28,0.775231,0.586567,2.209108e-04,3.3
29,0.766188,0.590533,1.894405e-04,3.3
30,0.761229,0.589561,1.599866e-04,3.3
31,0.748977,0.594619,1.327374e-04,3.3
32,0.747115,0.587685,1.078670e-04,3.3
33,0.739968,0.58768,8.553429e-05,3.2
34,0.737907,0.588495,6.588205e-05,3.3
35,0.732313,0.585258,4.903583e-05,3.2
36,0.729694,0.588773,3.510328e-05,3.2
37,0.726749,0.587288,2.417343e-05,3.2
38,0.723376,0.586424,1.631612e-05,3.3
39,0.72153,0.586742,1.158156e-05,3.3
40,0.718959,0.586515,1.000000e-05,3.3
