epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.854462,0.343935,0.218593,1.75e-04,4.3
2,0.34175,0.176912,0.16168,3.00e-04,4.3
3,0.30804,0.158087,0.156285,2.98e-04,4.2
4,0.301095,0.154051,0.153784,2.95e-04,4.2
5,0.297492,0.15175,0.152044,2.90e-04,4.2
6,0.294856,0.150184,0.150652,2.83e-04,4.2
7,0.292835,0.149068,0.15009,2.75e-04,4.3
8,0.29132,0.148158,0.149018,2.65e-04,4.3
9,0.289961,0.147337,0.148488,2.54e-04,4.5
10,0.288603,0.146413,0.148282,2.41e-04,4.3
11,0.287554,0.145813,0.147471,2.27e-04,4.3
12,0.286598,0.145186,0.147025,2.13e-04,4.3
13,0.285853,0.144757,0.146782,1.97e-04,4.2
14,0.284789,0.144068,0.146628,1.81e-04,4.3
15,0.284188,0.143778,0.146499,1.65e-04,4.3
16,0.283438,0.143051,0.14633,1.48e-04,4.2
17,0.282728,0.142777,0.146111,1.32e-04,4.2
18,0.28221,0.142362,0.146251,1.15e-04,4.3
19,0.281664,0.1422,0.145976,9.94e-05,4.2
20,0.281209,0.141887,0.146154,8.41e-05,4.2
21,0.280831,0.141689,0.146145,6.97e-05,4.8
22,0.280514,0.141471,0.1461,5.62e-05,4.2
23,0.280159,0.141241,0.146012,4.39e-05,4.2
24,0.279873,0.141015,0.146032,3.30e-05,4.9
25,0.279711,0.140833,0.146034,2.35e-05,4.2
26,0.279455,0.140775,0.146034,1.55e-05,4.3
27,0.279298,0.140753,0.145955,9.22e-06,4.4
28,0.279226,0.140675,0.14594,4.67e-06,4.4
29,0.279222,0.14068,0.145924,1.92e-06,4.3
30,0.279139,0.14055,0.146038,1.00e-06,4.0
